2026-07-16 22:01:30,906 | INFO | services.workflow_service | Saved JSON output to C:\Users\hp\AppData\Local\Temp\pytest-of-hp\pytest-0\test_save_json_and_markdown0\output\sample.json
2026-07-16 22:01:30,907 | INFO | services.workflow_service | Saved markdown output to C:\Users\hp\AppData\Local\Temp\pytest-of-hp\pytest-0\test_save_json_and_markdown0\output\sample.md
2026-07-16 22:05:12,197 | INFO | app | AI Multi-Agent Studio started
2026-07-16 22:06:58,370 | INFO | services.workflow_service | Saved JSON output to C:\Users\hp\Desktop\BE\Fichiers\Les_projets\AI_agents_Courses\AI_MultiAgent_Studio\output\fact_checker_payload.json
2026-07-16 22:06:58,372 | INFO | services.workflow_service | Saved JSON output to C:\Users\hp\Desktop\BE\Fichiers\Les_projets\AI_agents_Courses\AI_MultiAgent_Studio\output\fact_checker_payload.json
2026-07-16 22:12:36,945 | INFO | app | AI Multi-Agent Studio started
2026-07-16 22:13:08,866 | INFO | services.workflow_service | Saved JSON output to C:\Users\hp\Desktop\BE\Fichiers\Les_projets\AI_agents_Courses\AI_MultiAgent_Studio\output\social_content_payload.json
2026-07-16 22:13:08,868 | INFO | services.workflow_service | Saved JSON output to C:\Users\hp\Desktop\BE\Fichiers\Les_projets\AI_agents_Courses\AI_MultiAgent_Studio\output\social_content_payload.json
2026-07-16 22:15:49,735 | INFO | services.workflow_service | Saved JSON output to C:\Users\hp\Desktop\BE\Fichiers\Les_projets\AI_agents_Courses\AI_MultiAgent_Studio\output\book_writer_payload.json
2026-07-16 22:15:49,739 | INFO | services.workflow_service | Saved JSON output to C:\Users\hp\Desktop\BE\Fichiers\Les_projets\AI_agents_Courses\AI_MultiAgent_Studio\output\fact_checker_payload.json
2026-07-16 22:15:49,752 | INFO | services.workflow_service | Saved JSON output to C:\Users\hp\AppData\Local\Temp\pytest-of-hp\pytest-1\test_save_json_and_markdown0\output\sample.json
2026-07-16 22:15:49,753 | INFO | services.workflow_service | Saved markdown output to C:\Users\hp\AppData\Local\Temp\pytest-of-hp\pytest-1\test_save_json_and_markdown0\output\sample.md
2026-07-16 22:16:41,354 | INFO | services.workflow_service | Saved JSON output to C:\Users\hp\Desktop\BE\Fichiers\Les_projets\AI_agents_Courses\AI_MultiAgent_Studio\output\book_writer_payload.json
